"TABLE ID","IDENTIFIER","TEXT"
"LPK01","FOOTNOTE1","Key: MRD=minimum required dilution"
"LPK01","FOOTNOTE2","Note: *=excluded from summary statistics; LLOQxMRD=0.xxx"
"LPK02","TITLE","Listing of Individual [Matrix] Concentrations of [Active Study Agent/Analyte] ([units]) by [Body Weight] [Quartiles]; Pharmacokinetics Analysis Set (Study jjcs - core)"
"LPK02","FOOTNOTE1","Key: MRD=minimum required dilution"
"LPK02","FOOTNOTE2","Note: *=excluded from summary statistics; LLOQxMRD=0.xxx"
"TPKADA01","TITLE","[Matrix] [Active Study Agent] Concentrations ([units]) by Treatment-emergent Antibodies to [Active Study Agent] Status; Pharmacokinetics Analysis Set (Study jjcs - core)"
"TPKADA01","FOOTNOTE1","~{super a} Subjects with evaluable samples had 1 or more postdose samples with sufficient volume to assess the immune responses to [Active Study Agent]."
"TPKADA01","FOOTNOTE2","~{super b} Subjects who presented either treatment-induced, or treatment-boosted immunogenicity status. Subjects with a positive sample at baseline and postdose samples that are negative or that do not present a =4-fold  increase from baseline are categorized as negative for treatment-emergent immune responses."
"TPKADA01","FOOTNOTE3","~{super c} Excludes subjects who were treatment-emergent positive at any time through [Time Point]."
"TPKADA01titer","TITLE","[Matrix] [Active Study Agent] Concentrations ([units]) by Treatment-emergent Antibodies to [Active Study Agent] Status; Pharmacokinetics Analysis Set (Study jjcs - core)"
"TPKADA01titer","FOOTNOTE1","~{super a} Excludes subjects who were treatment-emergent positive at any time through [Time Point]."
"TPKADA01titer","FOOTNOTE2","~{super b} Subjects who presented either treatment-induced, or treatment-boosted immunogenicity status. Subjects with a positive sample at baseline and postdose samples that are negative or that do not present a =4-fold  increase from baseline are categorized as negative for treatment-emergent immune responses."
"TPKADA01titer","FOOTNOTE3","~{super c} Subjects with evaluable samples had 1 or more postdose samples with sufficient volume to assess the immune responses to [Active Study Agent]."
"GPKADA01","TITLE","[Mean/Median] [Matrix] [Active Study Agent] Concentrations ([units]) by Treatment-emergent Antibody Status; Pharmacokinetics Analysis Set (Study jjcs - core)"
"GPKADA01","FOOTNOTE1","Note: Concentration values below LLOQ are considered as 0."
"TIRADA01","TITLE","Treatment-emergent Antibodies to [Active Study Agent] Status; Immunogenicity Analysis Set (Study jjcs - core)"
"TIRADA01","FOOTNOTE1","~{super a} Subjects positive for antibodies to [Active Study Agent] at baseline, regardless of status after first [Active Study Agent] administration."
"TIRADA01","FOOTNOTE2","~{super b} Subjects with a positive baseline result and titers that increased =4-fold at any time postdose."
"TIRADA01","FOOTNOTE3","~{super c} Subjects with a positive baseline result and titers that did not increase =4-fold at any time postdose."
"TIRADA01","FOOTNOTE4","~{super d} Subjects with a negative (or unevaluable) baseline result and at least one positive postdose result."
"TIRADA01","FOOTNOTE5","~{super e} Subjects who presented either treatment-induced or treatment-boosted immunogenicity status. Subjects with a positive sample at baseline and postdose samples that are negative or that do not present a =4-fold  increase from baseline are categorized as negative for treatment-emergent immune responses."
"TIRADA01","FOOTNOTE6","~{super f} Excludes subjects who were treatment-emergent positive at any time through [Time Point]."
"TIRADA02","TITLE","Infusion-related Reactions by Antibodies to [Active Study Agent] Status; Safety Analysis Set (Study jjcs - core)"
"TIRADA02","FOOTNOTE1","~{super a} Subjects with evaluable samples had =1 postdose samples with sufficient volume to assess the immune responses to [Active Study Agent]."
"TIRADA02","FOOTNOTE2","~{super  b} Subjects positive for treatment-emergent antibodies to [Active Study Agent] includes all subjects who presented either treatment-induced, or treatment-boosted immunogenicity status. Subjects with a positive sample at baseline and postdose samples that are negative or that do not present a =4-fold  increase from baseline are categorized as negative for treatment-emergent immune responses."
"TIRADA02","FOOTNOTE3","~{super  c} Excludes subjects who were treatment-emergent positive at any time through [Time Point]."
"TIRADA02","FOOTNOTE4","~{super  d} For subjects negative for antibodies to [Active Study Agent] with infusion-related reactions, the denominator is the number of subjects negative for antibodies to [Active Study Agent]; for subjects positive for antibodies to [Active Study Agent] with infusion-related reactions, the denominator is the number of subjects positive for antibodies to [Active Study Agent]."
"TIRADA02","FOOTNOTE5","~{super  e} Denominator is total number of [Active Study Agent] infusions in the respective columns."
"TIRADA02","FOOTNOTE6","~{super  f} Denominator is total number of placebo infusions in the respective columns."
"TIRADA02titer","TITLE","Infusion-related Reactions by Antibodies to [Active Study Agent] Status; Safety Analysis Set (Study jjcs - core)"
"TIRADA02titer","FOOTNOTE1","~{super a} Excludes subjects who were treatment-emergent positive at any time through [Time Point]."
"TIRADA02titer","FOOTNOTE2","~{super  b} Subjects who presented either treatment-induced or treatment-boosted immunogenicity status. Subjects with a positive sample at baseline and postdose samples that are negative or that do not present a =4-fold  increase from baseline are categorized as negative for treatment-emergent immune responses."
"TIRADA02titer","FOOTNOTE3","~{super c} Subjects with evaluable samples had 1 or more postdose samples with sufficient volume to assess the immune responses to [Active Study Agent]."
"TIRADA02titer","FOOTNOTE4","~{super  d} For subjects negative for antibodies to [Active Study Agent] with infusion-related reactions, the denominator is the number of subjects negative for antibodies to [Active Study Agent]; for subjects positive for antibodies to [Active Study Agent] with infusion-related reactions, the denominator is the number of subjects positive for antibodies to [Active Study Agent]; and for each subject peak titer group with infusion-related reactions, the denominator is the respective number of subjects positive for antibodies to [Active Study Agent] in each subject peak titer group."
"TIRADA02titer","FOOTNOTE5","~{super  e} Denominator is total number of [Active Study Agent] infusions in the respective columns."
"TIRADA02titer","FOOTNOTE6","~{super  f} Denominator is total number of placebo infusions in the respective columns."
"TIRADA03","TITLE","Injection Site Reactions by Antibodies to [Active Study Agent] Status; Safety Analysis Set (Study jjcs - core)"
"TIRADA03","FOOTNOTE1","~{super a} Subjects with evaluable samples had 1 or more postdose samples with sufficient volume to assess the immune responses to [Active Study Agent]."
"TIRADA03","FOOTNOTE2","~{super  b} Subjects positive for treatment-emergent antibodies to [Active Study Agent] includes all subjects who presented either treatment-induced, or treatment-boosted immunogenicity status. Subjects with a positive sample at baseline and postdose samples that are negative or that do not present a =4-fold  increase from baseline are categorized as negative for treatment-emergent immune responses."
"TIRADA03","FOOTNOTE3","~{super  c} Includes all subjects with negative samples at all times through [Time Point] and excludes subjects who were positive at any time through [Time Point ]."
"TIRADA03","FOOTNOTE4","~{super  d} For subjects negative for antibodies to [Active Study Agent] with injection site reactions, the denominator is the number of subjects negative for antibodies to [Active Study Agent]; for subjects positive for antibodies to [Active Study Agent] with injection site reactions, the denominator is the number of subjects positive for antibodies to [Active Study Agent]."
"TIRADA03","FOOTNOTE5","~{super  e} Denominator is total number of [Active Study Agent] injections in the respective columns."
"TIRADA03","FOOTNOTE6","~{super  f} Denominator is total number of placebo injections in the respective columns."
"TIRADA03titer","TITLE","Injection Site Reactions by Antibodies to [Active Study Agent] Status; Safety Analysis Set (Study jjcs - core)"
"TIRADA03titer","FOOTNOTE1","~{super a} Excludes subjects who were positive at any time through [Time Point]."
"TIRADA03titer","FOOTNOTE2","~{super  b} Subjects positive for treatment-emergent antibodies to [Active Study Agent] includes all subjects who were positive (treatment-boosted or treatment-induced) at any time after their first [Active Study Agent] administration through [Time Point]. Subjects with baseline positive samples and without 4-fold increased titer after treatment are not considered treatment-boosted"
"TIRADA03titer","FOOTNOTE3","~{super  c} Subjects with evaluable samples had 1 or more postdose samples with sufficient volume to assess the immune responses to [Active Study Agent]."
"TIRADA03titer","FOOTNOTE4","~{super  d} For subjects negative for antibodies to [Active Study Agent] with injection site reactions, the denominator is the number of subjects negative for antibodies to [Active Study Agent]; for subjects positive for antibodies to [Active Study Agent] with injection site reactions, the denominator is the number of subjects positive for antibodies to [Active Study Agent]; and for each subject peak titer group with injection site reactions, the denominator is the respective number of subjects positive for antibodies to [Active Study Agent] in each subject peak titer group."
"TIRADA03titer","FOOTNOTE5","~{super  e} Denominator is total number of [Active Study Agent] injections in the respective columns."
"TIRADA03titer","FOOTNOTE6","~{super  f} Denominator is total number of placebo injections in the respective columns."
"TIRADA04","TITLE","[Categorical Response] at [Time Point] by Treatment-emergent Antibodies to [Active Study Agent] Status; Full Analysis Set (Study jjcs - core)"
"TIRADA04","FOOTNOTE1","~{super a} Subjects with evaluable samples had 1 or more postdose samples with sufficient volume to assess the immune responses to [Active Study Agent]."
"TIRADA04","FOOTNOTE2","~{super b} Subjects positive for treatment-emergent antibodies to [Active Study Agent] includes all subjects who were positive (treatment-boosted or treatment-induced) at any time after their first [Active Study Agent] administration through [Time Point]. Subjects with baseline positive samples and without 4-fold increased titer after treatment are not considered treatment-boosted."
"TIRADA04","FOOTNOTE3","~{super c} Includes all subjects with negative samples at all times through [Time Point] and excludes subjects who were treatment-emergent positive at any time through [Time Point ]."
"TIRADA04titer","TITLE","[Categorical Response] at [Time Point] by Treatment-emergent Antibodies to [Active Study Agent] Status; Full Analysis Set (Study jjcs - core)"
"TIRADA04titer","FOOTNOTE1","~{super a} Excludes subjects who were positive at any time through [Time Point]."
"TIRADA04titer","FOOTNOTE2","~{super b} Subjects positive for treatment-emergent antibodies to [Active Study Agent] includes all subjects who were positive (treatment-boosted or treatment-induced) at any time after their first [Active Study Agent] administration through [Time Point]. Subjects with baseline positive samples and without 4-fold increased titer after treatment are not considered treatment-boosted."
"TIRADA04titer","FOOTNOTE3","~{super c} Subjects with evaluable samples had 1 or more postdose samples with sufficient volume to assess the immune responses to [Active Study Agent]."
"TIRADA05","TITLE","[Continuous Response] at [Time Point] by Treatment-emergent Antibodies to [Active Study Agent] Status; Full Analysis Set (Study jjcs - core)"
"TIRADA05","FOOTNOTE1","~{super a} Subjects with evaluable samples had 1 or more postdose samples with sufficient volume to assess the immune responses to [Active Study Agent]."
"TIRADA05","FOOTNOTE2","~{super b} Subjects positive for treatment-emergent antibodies to [Active Study Agent] includes all subjects who were positive (treatment-boosted or treatment-induced) at any time after their first [Active Study Agent] administration through [Time Point]. Subjects with baseline positive samples and without 4-fold increased titer after treatment are not considered treatment-boosted."
"TIRADA05","FOOTNOTE3","~{super c} Includes all subjects with negative samples at all times through [Time Point] and excludes subjects who were treatment-emergent positive at any time through [Time Point ]."
"TIRADA05titer","TITLE","[Continuous Response] at [Time Point] by Treatment-emergent Antibodies to [Active Study Agent] Status; Full Analysis Set (Study jjcs - core)"
"TIRADA05titer","FOOTNOTE1","~{super a} Excludes subjects who were treatment-emergent positive at any time through [Time Point]."
"TIRADA05titer","FOOTNOTE2","~{super b} Subjects positive for treatment-emergent antibodies to [Active Study Agent] includes all subjects who were positive (treatment-boosted or treatment-induced) at any time after their first [Active Study Agent] administration through [Time Point]. Subjects with baseline positive samples and without 4-fold increased titer after treatment are not considered treatment-boosted."
"TIRADA05titer","FOOTNOTE3","~{super c} Subjects with evaluable samples had 1 or more postdose samples with sufficient volume to assess the immune responses to [Active Study Agent]."
"TIRADA06","TITLE","Time to Onset and Duration of Treatment-induced Antibodies to [Active Study Agent]; Immunogenicity Analysis Set (Study jjcs - core)"
"TIRADA06","FOOTNOTE1","~{super a} Subjects with a negative (or unevaluable) baseline result and at least one positive postdose result."
"TIRADA06","FOOTNOTE2","~{super b} Subjects with treatment-induced ADA detected at two or more sampling time points during the intervention (including follow-up period if any), where the first and last ADA-positive samples (irrespective of any negative samples in between) are separated by a period of 16 weeks or longer."
"TIRADA06","FOOTNOTE3","~{super c} Subjects with treatment-induced ADA detected at only one sampling time point (excluding last time point), or at two or more sampling time points during the intervention (including follow-up period if any), where the first and last  ADA-positive samples (irrespective of any negative samples in between) are separated by a period of less than 16 weeks and the last sampling time point is ADA negative."
"TIRADA06","FOOTNOTE4","~{super d} Subjects with an ADA positive response that is not persistent or transient."
"TIRADA06","FOOTNOTE5","~{super e} Date of first positive antibody - date of first administration of [active study agent] +1)/[7]."
"TIRADA06","FOOTNOTE6","~{super f}  Date of last positive antibody - date of first positive antibody+1)/[7]"
"TIRNAB01","TITLE","Neutralizing Antibodies to [Active Study Agent] Status; Immunogenicity Analysis Set (Study jjcs - core)"
"TIRNAB01","FOOTNOTE1","~{super a}  Subjects who presented either treatment-induced or treatment-boosted immunogenicity status. Subjects with a positive sample at baseline and postdose samples that are negative or that do not present a =4-fold  increase from baseline are categorized as negative for treatment-emergent immune responses."
"TIRNAB01","FOOTNOTE2","~{super b} A subject positive for treatment-emergent antibodies to [Active Study Agent] who has at least one postdose sample evaluable for detection of neutralizing antibodies to [Active Study Intervention]."
"TIRNAB01","FOOTNOTE3","~{super c} Subjects positive for neutralizing antibodies from treatment-emergent antibodies to [Active Study Agent] positive subjects. The denominator is the number of subjects evaluable for neutralizing antibodies."
"TIRNAB01","FOOTNOTE4","~{super d} Excludes subjects positive for neutralizing antibodies at any time. The denominator is the number of subjects evaluable for neutralizing antibodies."
"TIRNAB01","FOOTNOTE5","~{super e} The denominator is the number of subjects in the Immunogenicity set."
"TIRNAB02","TITLE","Infusion-related Reactions by Neutralizing Antibodies to [Active Study Agent] Status; Safety Analysis Set (Study jjcs - core)"
"TIRNAB02","FOOTNOTE1","~{super  a} Subjects positive for treatment-emergent antibodies to [Active Study Agent] includes all subjects who were positive (treatment-boosted or treatment-induced) at any time after their first [Active Study Agent] administration through [Time Point]. Subjects with baseline positive samples and without 4-fold increased titer after treatment are not considered treatment-boosted"
"TIRNAB02","FOOTNOTE2","~{super  b} An evaluable subject is a subject positive for treatment-emergent antibodies to [Active Study Agent] who was evaluated for neutralizing antibodies."
"TIRNAB02","FOOTNOTE3","~{super  c} Subjects positive for neutralizing antibodies from treatment-emergent antibodies to [Active Study Agent] positive subjects."
"TIRNAB02","FOOTNOTE4","~{super  d} Excludes subjects who were positive for neutralizing antibodies at any time through [Time Point]."
"TIRNAB02","FOOTNOTE5","~{super  e} For subjects negative for neutralizing antibodies to [Active Study Agent] with infusion-related reactions, the denominator is the number of subjects negative for antibodies to [Active Study Agent]; for subjects positive for treatment-emergent neutralizing antibodies to [Active Study Agent] with infusion-related reactions, the denominator is the number of subjects positive for treatment-emergent neutralizing antibodies to [Active Study Agent]."
"TIRNAB02","FOOTNOTE6","~{super  f} Denominator is total number of [Active Study Agent] infusions in the respective columns."
"TIRNAB02","FOOTNOTE7","~{super  g} Denominator is total number of placebo infusions in the respective columns."
"TIRNAB03","TITLE","Injection Site Reactions by Neutralizing Antibodies to [Active Study Agent] Status; Safety Analysis Set (Study jjcs - core)"
"TIRNAB03","FOOTNOTE1","~{super  a} Subjects positive for treatment-emergent antibodies to [Active Study Agent] includes all subjects who were positive (treatment-boosted or treatment-induced) at any time after their first [Active Study Agent] administration through [Time Point]. Subjects with baseline positive samples and without 4-fold increased titer after treatment are not considered treatment-boosted"
"TIRNAB03","FOOTNOTE2","~{super  b} An evaluable subject is a subject positive for treatment-emergent antibodies to [Active Study Agent] who was evaluated for neutralizing antibodies."
"TIRNAB03","FOOTNOTE3","~{super  c} Subjects positive for neutralizing antibodies from treatment-emergent antibodies to [Active Study Agent] positive subjects."
"TIRNAB03","FOOTNOTE4","~{super  d} Excludes subjects who were positive for neutralizing antibodies at any time through [Time Point]."
"TIRNAB03","FOOTNOTE5","~{super  e} For subjects negative for neutralizing antibodies to [Active Study Agent] with injection site reactions, the denominator is the number of subjects negative for antibodies to [Active Study Agent]; for subjects positive for treatment-emergent neutralizing antibodies to [Active Study Agent] with injection site reactions, the denominator is the number of subjects positive for treatment-emergent neutralizing antibodies to [Active Study Agent]."
"TIRNAB03","FOOTNOTE6","~{super  f} Denominator is total number of [Active Study Agent] injections in the respective columns."
"TIRNAB03","FOOTNOTE7","~{super  g} Denominator is total number of placebo injections in the respective columns."
"TIRNAB04","TITLE","[Categorical Response] at [Time Point] by Neutralizing Antibodies to [Active Study Agent] Status; Full Analysis Set (Study jjcs - core)"
"TIRNAB04","FOOTNOTE1","~{super a} Subjects positive for treatment-emergent antibodies to [Active Study Agent] includes all subjects who were positive (treatment-boosted or treatment-induced) at any time after their first [Active Study Agent] administration through [Time Point]. Subjects with baseline positive samples and without 4-fold increased titer after treatment are not considered treatment-boosted."
"TIRNAB04","FOOTNOTE2","~{super b} An evaluable subject is a subject positive for treatment-emergent antibodies to [Active Study Agent] who was evaluated for neutralizing antibodies."
"TIRNAB04","FOOTNOTE3","~{super c} Subjects positive for neutralizing antibodies from treatment-emergent antibodies to [Active Study Agent] positive subjects."
"TIRNAB04","FOOTNOTE4","~{super d} Excludes subjects who were positive for neutralizing antibodies at any time through [Time Point]."
"TIRNAB05","TITLE","[Continuous Response] at [Time Point] by Neutralizing Antibodies to [Active Study Agent] Status; Full Analysis Set (Study jjcs - core)"
"TIRNAB05","FOOTNOTE1","~{super a} Subjects positive for treatment-emergent antibodies to [Active Study Agent] includes all subjects who were positive (treatment-boosted or treatment-induced) at any time after their first [Active Study Agent] administration through [Time Point]. Subjects with baseline positive samples and without 4-fold increased titer after treatment are not considered treatment-boosted."
"TIRNAB05","FOOTNOTE2","~{super b} An evaluable subject is a subject positive for treatment-emergent antibodies to [Active Study Agent] who was evaluated for neutralizing antibodies."
"TIRNAB05","FOOTNOTE3","~{super c} Subjects positive for neutralizing antibodies from treatment-emergent antibodies to [Active Study Agent] positive subjects."
"TIRNAB05","FOOTNOTE4","~{super d} Excludes subjects who were positive for neutralizing antibodies at any time through [Time Point]."
"GIRADA01","TITLE","Subjects With [Success Criteria] by Treatment-emergent Antibody Status; Full Analysis Set (Study jjcs - core)"
"LIRADA01","TITLE","Listing of Subjects Positive for Treatment-emergent Antibodies to [Active Study Agent] Status; Immunogenicity Analysis Set (Study jjcs - core)"
"LIRADA01","FOOTNOTE1","Key: UEV=Unevaluable Subject."
"LIRADA01","FOOTNOTE2","Note: LLOQ=0.xxx."
"LIRADA02","TITLE","Listing of Subjects Who Discontinued the Study by Treatment-emergent Antibodies to [Active Study Agent] Status; Immunogenicity Analysis Set (Study jjcs - core)"
"LIRADA02","FOOTNOTE1","Key: UEV=Unevaluable Subject."
"LIRADA02","FOOTNOTE2","Note: LLOQ=0.xxx."
"LIRADA03","TITLE","Listing of Subjects With Samples Negative for Treatment-emergent Antibodies to [Active Study Agent] Status and Concentrations Greater Than the Assay Drug Tolerance Limit ([xx ug/mL]) Through [Time Point]; Immunogenicity Analysis Set (Study jjcs - core)"
"LIRADA03","FOOTNOTE1","Key: LLOQ=0.xxx."
"LIRADA04","TITLE","Listing of Subjects With Samples Positive for Antibodies to [Active Study Agent] at Baseline; Immunogenicity Analysis Set (Study jjcs - core)"
"LIRADA04","FOOTNOTE1","Note: LLOQ=0.xxx."
"LIRADA05","TITLE","Listing of Humoral Immunogenicity Through [Time Point]; Immunogenicity Analysis Set (Study jjcs - core)"
"LIRADA05","FOOTNOTE1","~{super a}  Subjects who presented either treatment-induced or treatment-boosted immunogenicity status. Subjects with a positive sample at baseline and postdose samples that are negative or that do not present a =4-fold  increase from baseline are categorized as negative for treatment-emergent immune responses."
"TIRCEL01","TITLE","Baseline and Treatment-emergent Cellular Immunogenicity to [AAV5 and RPGR] Through [Time Point]; Safety Analysis Set (Study jjcs - core)"
"TIRCEL01","FOOTNOTE1","Note: The [ELISPOT] assay was used to assess the cellular immunogenicity towards the treatment as IFN-<U+03B3>] responses of human peripheral blood mononuclear cells (PBMCs)."
"TIRCEL01","FOOTNOTE2","~{super a} Subjects with at least one evaluable baseline sample from at least one peptide pool tested for [AAV5 or RPGR, respectively]."
"TIRCEL01","FOOTNOTE3","~{super b} Subjects with a positive sample status at baseline for at least one of the peptide pools tested for [AAV5 or RPGR, respectively]."
"TIRCEL01","FOOTNOTE4","~{super c} Subjects with a negative sample status at baseline for all the peptide pools tested for [AAV5 or RPGR, respectively]."
"TIRCEL01","FOOTNOTE5","~{super d} Subjects with at least one evaluable postdose sample from at least one peptide pool tested for [AAV5 or RPGR, respectively]."
"TIRCEL01","FOOTNOTE6","~{super e} Subjects with a positive subject status (treatment-boosted or treatment-induced) for at least one of the peptide pools tested for [AAV5 or RPGR, respectively]."
"TIRCEL01","FOOTNOTE7","~{super f} Subjects with a negative subject status for all the peptide pools tested for [AAV5 or RPGR, respectively] postdose."
"LIRCEL01","TITLE","Listing of Cellular Immunogenicity Results Based on IFN-<U+03B3> Response Through [Time Point]; Immunogenicity Analysis Set (Study jjcs - core)"
"LIRCEL01","FOOTNOTE1","~{super a} Values are reported for positive samples as mean spot-forming units per million PBMCs after subtraction of mean spot-forming units for the negative control wells. Sample is considered positive to a [AAV5 or RPGR] peptide pool if [the cube root normalized response value is = the cut-point value for the corresponding peptide pool]."
"LIRCEL01","FOOTNOTE2","~{super b} Subject is considered positive for treatment-emergent responses to [AAV5 or RPGR] if they have a treatment-induced or treatment-boosted status. A treatment-induced status is when a subject does not have a response to any of the [2 AAV5 or 3 RPGR] peptide pools at baseline (or has an unevaluable baseline status) and has a positive response to any of the respective peptide pools postdose.  A treatment-boosted status is when a subject has a positive response to any of the [2 AAV5 or 3 RPGR] peptide pools at baseline and a positive postdose response with an increase of =[0.91 in the normalized cube transformed spot forming units] at any of the [2 AAV5 or 3 RPGR] peptide pools, respectively."
"TBDPCR01","TITLE","Biodistribution and Shedding Sample Results Over Time; Safety Analysis Set (Study jjcs - core)"
"TBDPCR01","FOOTNOTE1","Key: LOD=limit of detection, LOQ=limit of quantification, NR=not reported."
"TBDPCR01","FOOTNOTE2","Note: Total is the total number of samples collected at a specific time point."
"TBDPCR01","FOOTNOTE3","Note: Positive is the number of samples with copies = LOQ and with copies < LOQ."
"TBDPCR01","FOOTNOTE4","Note: Negative is the number of samples with copies < LOD, or where no amplification was detected."
"TBDPCR01","FOOTNOTE5","Note: The LOQ of the assay was [50] viral genome copies/[5 µL] for [lacrimal fluid, saliva, and serum], and [50] viral genome copies/[200 ng] human genomic DNA for [whole blood]."
"TBDPCR01","FOOTNOTE6","Note: The LOD of the assay was [8.29] viral genome copies/[5 µL] for [lacrimal fluid, saliva, and serum], and [8.29] viral genome copies/[200 ng] human genomic DNA for [whole blood]."
"TBDPCR02","TITLE","Biodistribution/Vector Shedding Over Time; Safety Analysis Set (Study jjcs - core)"
"TBDPCR02","FOOTNOTE1","Key: LOD=limit of detection, LOQ=limit of quantification, NR=not reported, UND=no amplification detected."
"TBDPCR02","FOOTNOTE2","Note: The LOQ of the assay was [50] viral genome copies/5 µL for [lacrimal fluid, saliva, and serum], and [50] viral genome copies/[200 ng] human genomic DNA for [whole blood]."
"TBDPCR02","FOOTNOTE3","Note: The LOD of the assay was [8.29] viral genome copies/5 µL for [lacrimal fluid, saliva, and serum], and [8.29] viral genome copies/[200 ng] human genomic DNA for [whole blood]."
"LBDPCR01","TITLE","Listing of Quantitative Polymerase Chain Reaction Values in Whole Blood; Safety Analysis Set (Study jjcs - core)"
"LBDPCR01","FOOTNOTE1","Key: LOD=limit of detection, LOQ=limit of quantification, NR=not reported, UND=no amplification detected."
"LBDPCR01","FOOTNOTE2","~{super a} Study day is relative to [the start of [study treatment]]."
"LBDPCR01","FOOTNOTE3","Note: The LOQ of the assay was [50] viral genome copies/5µL for [lacrimal fluid, saliva, and serum], and [50] viral genome copies/[200ng] human genomic DNA for [whole blood]."
"LBDPCR01","FOOTNOTE4","Note: The LOD of the assay was [8.29] viral genome copies/5µL for [lacrimal fluid, saliva, and serum], and [8.29] viral genome copies/[200ng] human genomic DNA for [whole blood]."
"LBDPCR02","TITLE","Listing of Quantitative Polymerase Chain Reaction Values in Serum; Safety Analysis Set (Study jjcs - core)"
"LBDPCR02","FOOTNOTE1","Key: LOD=limit of detection, LOQ=limit of quantification, NR=not reported, UND=no amplification detected."
"LBDPCR02","FOOTNOTE2","~{super a} Study day is relative to [the start of [study treatment]]."
"LBDPCR02","FOOTNOTE3","Note: The LOQ of the assay was [50] viral genome copies/5µL for [lacrimal fluid, saliva, and serum], and [50] viral genome copies/[200ng] human genomic DNA for [whole blood]."
"LBDPCR02","FOOTNOTE4","Note: The LOD of the assay was [8.29] viral genome copies/5µL for [lacrimal fluid, saliva, and serum], and [8.29] viral genome copies/[200ng] human genomic DNA for [whole blood]."
"LBDPCR03","TITLE","Listing of Quantitative Polymerase Chain Reaction Values in Saliva; Safety Analysis Set (Study jjcs - core)"
"LBDPCR03","FOOTNOTE1","Key: LOD=limit of detection, LOQ=limit of quantification, NR=not reported, UND=no amplification detected."
"LBDPCR03","FOOTNOTE2","~{super a} Study day is relative to [the start of [study treatment]]."
"LBDPCR03","FOOTNOTE3","Note: The LOQ of the assay was [50] viral genome copies/5µL for [lacrimal fluid, saliva, and serum], and [50] viral genome copies/[200ng] human genomic DNA for [whole blood]."
"LBDPCR03","FOOTNOTE4","Note: The LOD of the assay was [8.29] viral genome copies/5µL for [lacrimal fluid, saliva, and serum], and [8.29] viral genome copies/[200ng] human genomic DNA for [whole blood]."
"LBDPCR04","TITLE","Listing of Quantitative Polymerase Chain Reaction Values in Lacrimal Fluid; Safety Analysis Set (Study jjcs - core)"
"LBDPCR04","FOOTNOTE1","Key: LOD=limit of detection, LOQ=limit of quantification, NR=not reported, UND=no amplification detected."
"LBDPCR04","FOOTNOTE2","~{super a} Study day is relative to [the start of [study treatment]]."
"LBDPCR04","FOOTNOTE3","Note: The LOQ of the assay was [50] viral genome copies/5µL for [lacrimal fluid, saliva, and serum], and [50] viral genome copies/[200ng] human genomic DNA for [whole blood]."
"LBDPCR04","FOOTNOTE4","Note: The LOD of the assay was [8.29] viral genome copies/5µL for [lacrimal fluid, saliva, and serum], and [8.29] viral genome copies/[200ng] human genomic DNA for [whole blood]."
"TCRAE01","TITLE","Subjects With Treatment-emergent Adverse Events (Excluding Serious Adverse Events) With Frequency =[5]% in [Any Treatment Group] by System Organ Class and Preferred Term; Safety Analysis Set (Study jjcs - core)"
"TCRAE01","FOOTNOTE1","Note: Subjects are counted only once for any given event, regardless of the number of times they actually experienced the event."
"TCRAE01","FOOTNOTE2","Note: Adverse events are coded using MedDRA version 26.0."
